nome;seguidores;tweets;seguindo;curtidas;retweets;favorites;hashtags;mentions
Revoltados ON LINE;45140;23733;2890;757;107;395;#RevoltadosONLINE #GuilhermeBoulosNaCadeia #MarcelloReis #Lula #GleiseHoffmann #LulaNaCadeia ;YouTube GuilhermeBoulos folha 
EPL;9851;6023;294;355;0;0;;
EscolaSemPartido;19265;1028;94;285;1531;3611;;ValeConservador AiltonBenedito Sen_Cristovam miguel_nagib 16do08de1986 escolasempartid PriscilaBCosta_ rochaprime JezieldeQueiroz Luadoce1 
Inst. MercadoPopular;5587;3177;207;263;0;0;;GabrielNemer_T deltanmd BancoCentralBR gtinocolh folha goescarlos elenalandau jmpmello 
Libertarianismo +;17427;16937;78;12;0;0;;
Mov. Brasil Livre;134874;15046;575;558;5095;15272;#DiaDoTrabalho ;YouTube FernandoHoliday MBLivre EricBalbinus curtaramiro apyus dilmabr SocialistiPhone renato_battista pensoestranho DaniloGentili alex_borges CarmeIoNeto LulapeloBrasil RubensNunesf pfnery benebarbosa_mvb mblindos 
MCC;7792;160360;301;0;188;474;#Compartilhe #EuNãoAceito #ApoioPMERJ ;
LIVRES;10939;2112;137;434;73;402;#SejaLivres #LivresTV ;MBLivre petropolislinux partidonovo30 gabrielazevedo elenalandau ir_practice FabioOstermann lucasdebritopb emersonjarude _cadumagalhaes PainelWWcerto CarvedJaguar05 henriquern 
NasRuas;14427;29699;2311;2537;303;571;#nasruas #pf #cambioDesligo #NasRuasBoston #Boston #StanRosenberg ;
Lula pelo Brasil;328492;13205;467;1279;9934;28882;#LulaLivre ;pablogentili 
Fernando Haddad;593479;1676;204;67;234;1012;;MidiaNINJA lelacrodrigues elikatakimoto folha 
Ciro Gomes;149661;300;3;37;691;3206;#DiaDoTrabalho ;
João Doria;886524;13109;364;111;563;3441;#AceleraSP #JoãoTrabalhador #GestãoEficiente #ObrigadoTimeQueTrabalha #AmelhorParteDoDia #DesenvolvimentoRegional #AmoPastel #DiaStarWars ;
Geraldo Alckmin;993708;32648;415;116;405;1962;;
Jair Bolsonaro;1149660;4101;186;840;9382;45512;;SouDescortes CarlosBolsonaro BolsonaroSP 
Henrique Meirelles;44782;562;173;7;202;1180;;ReutersBrazil 
Michel Temer;961771;14037;571;1128;506;2324;#AoVivo ;TVNBR bolsafamilia RadioagenciaEBC planalto 
Marina Silva;1915445;8643;448;2512;415;2071;#DiaDoTrabalhador #RodaViva ;rodaviva silva_marina 
Levy Fidelix;20811;8008;433;118;9;30;;
Pastor Everaldo 20;16041;5833;200;429;0;0;;PRabello pscmulherpara 
Flavio Rocha;24939;3992;599;500;35;269;#Repost #FlavioRocha #coluna #Política ;BI_GOD MBLivre PRB_BAHIA drarogeria TiaEron bahiaja ForbesBR RevistaBzzz flaviogr atarde 
Roberto Justus Ofici;1276739;2158;105;11;0;44;#birthdaynight #cantandocompapai #beautifulday #partytime #weekend ;RodrigoFaro 
Guilherme Boulos;48343;1344;214;298;10652;31214;#CompartilheAVerdade #quemocupanaotemculpa #equipe #RodaViva #Boulos2018 #quemocupanãotemculpa #MarielleVive #BoulosNoRodaViva #BoulosResponde #AoVivo ;MidiaNINJA GuilhermeBoulos rodaviva Boatosorg lauraabcarvalho 
Jaques Wagner;64009;8050;666;442;798;1975;#LulaLivre #1McomLula ;LulapeloBrasil gleisi ptbrasil 
Fernando Collor;28308;3035;254;2;0;0;;
Cristovam Buarque;780899;47529;438;307;159;940;;
